Index,Original Word,Translated Word,Audio File Path,Definition
20,elephant,elefante,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\elefante.mp3,"A mammal of the order Proboscidea, having a trunk, and two large ivory tusks jutting from the upper jaw."
21,bear,oso,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\oso.mp3,"A large omnivorous mammal, related to the dog and raccoon, having shaggy hair, a very small tail, and flat feet; a member of family Ursidae."
22,zebra,cebra,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\cebra.mp3,"Any of three species of genus Equus: E. grevyi, E. quagga, or E. zebra, all with black and white stripes and native to Africa."
23,giraffe,jirafa,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\jirafa.mp3,"A ruminant, of the genus Giraffa, of the African savannah with long legs and highly elongated neck, which make it the tallest living animal; yellow fur patterned with dark spots, often in the form of a network; and two or more short, skin-covered horns, so-called; strictly speaking the horn-like projections are ossicones."
24,backpack,mochila,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\mochila.mp3,"A knapsack, sometimes mounted on a light frame, but always supported by straps, worn on a person’s back for the purpose of carrying things, especially when hiking, or on a student's back when carrying books."
25,umbrella,paraguas,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\paraguas.mp3,Cloth-covered frame used for protection against rain or sun.
26,handbag,bolso,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\bolso.mp3,(mainly Commonwealth) A small bag used by women (or sometimes by men) for carrying various small personal items.
27,tie,atar,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\atar.mp3,A knot; a fastening.
28,suitcase,maleta,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\maleta.mp3,"A large (usually rectangular) piece of luggage used for carrying clothes, and sometimes suits, when travelling."
29,frisbee,disco volador,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\disco volador.mp3,A disk-shaped gliding toy.
30,skis,esquís,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\esquís.mp3,One of a pair of long flat runners designed for gliding over snow or water
31,snowboard,snowboard,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\snowboard.mp3,"A board, somewhat like a broad ski, or a very long skateboard with no wheels, used in the sport of snowboarding."
32,sports ball,pelota deportiva,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\pelota deportiva.mp3,No definition found
33,kite,ver,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\ver.mp3,No definition found
34,baseball bat,bate de béisbol,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\bate de béisbol.mp3,No definition found
35,baseball glove,guante de béisbol,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\guante de béisbol.mp3,No definition found
36,skateboard,patineta,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\patineta.mp3,"A narrow, wooden or plastic platform mounted on pairs of wheels, on which one stands and propels oneself by pushing along the ground with one foot."
37,surfboard,tabla de surf,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\tabla de surf.mp3,"A shaped waterproof plank, usually made of wood or foam and reinforced plastic, used to surf on waves."
38,tennis racket,raqueta de tenis,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\raqueta de tenis.mp3,No definition found
39,bottle,botella,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\botella.mp3,"A container, typically made of glass or plastic and having a tapered neck, used primarily for holding liquids."
40,wine glass,Copa de vino,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\Copa de vino.mp3,"A glass vessel, normally with a stem, from which wine is drunk."
41,cup,taza,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\taza.mp3,"A concave vessel for drinking from, usually made of opaque material (as opposed to a glass) and with a handle."
42,fork,tenedor,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\tenedor.mp3,"A pronged tool having a long straight handle, used for digging, lifting, throwing etc."
43,knife,cuchillo,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\cuchillo.mp3,"A utensil or a tool designed for cutting, consisting of a flat piece of hard material, usually steel or other metal (the blade), usually sharpened on one edge, attached to a handle. The blade may be pointed for piercing."
44,spoon,cuchara,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\cuchara.mp3,"An implement for eating or serving; a scooped utensil whose long handle is straight, in contrast to a ladle."
45,bowl,bol,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\bol.mp3,"A roughly hemispherical container used to hold, mix or present food, such as salad, fruit or soup, or other items."
46,banana,banana,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\banana.mp3,An elongated curved tropical fruit that grows in bunches and has a creamy flesh and a smooth skin.
47,apple,manzana,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\manzana.mp3,"A common, round fruit produced by the tree Malus domestica, cultivated in temperate climates."
48,sandwich,sándwich,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\sándwich.mp3,A dish or foodstuff where two or more slices of bread serve as the wrapper or container of some other food.
49,orange,naranja,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\naranja.mp3,An evergreen tree of the genus Citrus such as Citrus sinensis.
50,broccoli,brócoli,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\brócoli.mp3,"A plant, Brassica oleracea var. italica, of the cabbage family, Brassicaceae; especially, the tree-shaped flower and stalk that are eaten as a vegetable."
51,carrot,zanahoria,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\zanahoria.mp3,"A vegetable with a nutritious, juicy, sweet root that is often orange in colour, Daucus carota, especially the subspecies sativus in the family Apiaceae."
52,hot dog,Hot dog,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\Hot dog.mp3,"A sandwich consisting of a frankfurter, or wiener, in a bread roll, usually served with ketchup, mustard, relish, etc."
53,pizza,pizza,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\pizza.mp3,"A baked Italian dish of a thinly rolled bread dough crust typically topped before baking with tomato sauce, cheese and other ingredients such as meat, vegetables or fruit"
54,donut,rosquilla,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\rosquilla.mp3,"A deep-fried piece of dough or batter, commonly made in a toroidal or ellipsoidal shape, and mixed with various sweeteners and flavors, sometimes filled with jelly, custard or cream."
55,cake,pastel,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\pastel.mp3,"A rich, sweet dessert food, typically made of flour, sugar and eggs and baked in an oven, and often covered in icing."
56,chair,silla,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\silla.mp3,"An item of furniture used to sit on or in, comprising a seat, legs, back, and sometimes arm rests, for use by one person. Compare stool, couch, sofa, settee, loveseat and bench."
57,couch,sofá,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\sofá.mp3,"Couch grass, a species of persistent grass, Elymus repens, usually considered a weed."
58,potted plant,planta en maceta,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\planta en maceta.mp3,No definition found
59,bed,cama,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\cama.mp3,"A piece of furniture, usually flat and soft, on which to rest or sleep."
60,dining table,comedor,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\comedor.mp3,"A table, usually in a dining room, on which meals are served."
61,toilet,baño,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\baño.mp3,"A covering of linen, silk, or tapestry, spread over a dressing table in a chamber or dressing room."
62,TV,TELEVISOR,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\TELEVISOR.mp3,The assessed value of an asset from which the tax owing is computed.
63,laptop,computadora portátil,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\computadora portátil.mp3,A laptop computer.
64,mouse,ratón,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\ratón.mp3,Any small rodent of the genus Mus.
65,remote,remoto,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\remoto.mp3,An element of broadcast programming originating away from the station's or show's control room.
66,keyboard,teclado,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\teclado.mp3,"(etc.) A set of keys used to operate a typewriter, computer etc."
67,cell phone,Teléfono móvil,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\Teléfono móvil.mp3,"A portable, wireless telephone, which changes antenna connections seamlessly during travel from one radio reception cell to another without losing the party-to-party call connection."
68,microwave,microonda,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\microonda.mp3,An electromagnetic wave with wavelength between that of infrared light and radio waves.
69,oven,horno,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\horno.mp3,A chamber used for baking or heating.
70,toaster,tostadora,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\tostadora.mp3,One who toasts (cooks lightly by browning).
71,sink,hundir,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\hundir.mp3,A basin used for holding water for washing.
72,refrigerator,refrigerador,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\refrigerador.mp3,A household appliance used for keeping food fresh by refrigeration (short form fridge).
73,book,libro,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\libro.mp3,"A collection of sheets of paper bound together to hinge at one edge, containing printed or written material, pictures, etc."
74,clock,reloj,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\reloj.mp3,An instrument used to measure or keep track of time; a non-portable timepiece.
75,vase,florero,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\florero.mp3,"An upright open container used mainly for displaying fresh, dried, or artificial flowers."
76,scissors,tijeras,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\tijeras.mp3,One blade on a pair of scissors.
77,teddy bear,oso de peluche,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\oso de peluche.mp3,A plush toy in the shape of a bear.
78,hair drier,Secadora de pelo,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\Secadora de pelo.mp3,No definition found
79,toothbrush,cepillo de dientes,C:\Users\NuVu\Downloads\BRAGI-master\BRAGI-master\translation\audio_files\cepillo de dientes.mp3,"A brush, used with toothpaste, for cleaning the teeth."
